,MAT,Salinity,pH,NH4,NO3,NO2,TN,TP,SO4,TOC (g/kg),Moisture (%)
LYG13_FDME210455394,13.8,2.5,8.7,0.003577572,0.0495504,0.000144129,1.8002187,0.022099438,1.67931875,17.51,29.52
LYG3_FDME210455384,13.8,2,8.77,0.008109684,0.0459585,7.46E-05,1.6158345,0.007685125,1.99061875,Na,34.5
LYG5_FDME210455386,13.8,1.6,8.8,0.003170844,0.0315909,0.000066894,1.7918376,0.011672063,1.75289875,13.19,32.11
LYG6_FDME210455387,13.8,3.4,8.62,0.007644852,0.0387747,0.000066894,1.4230692,0.017499125,2.27927875,Na,29.51
LYG7_FDME210455388,13.8,2.6,8.63,0.005959836,0.0387747,0.000128682,1.9343163,0.015045625,2.06985875,23.97,32.81
N10_FDSW202534407,12.77,3.96,8.2,0.005408002,0.07286668,0.00013566,1.30892888,0.02826481,1.829101795,15.12,43.6
N100_FDSW202534410,12.77,8.51,8.01,0.00671336,0.082637,0.000672429,1.47946848,0.03639216,2.342279845,30.29,60.3
N150_FDSW202534411,12.77,3.27,8.12,0.004229996,0.08124124,0.00075981,1.63140376,0.03521,2.203906995,25.23,35.4
N20_FDSW202534408,12.77,2.79,8.07,0.003704669,0.08333488,0.000154385,1.53528144,0.0233884,1.350789345,32.79,56
N5_FDSW202534406,12.77,3.83,8.27,0.002526663,0.0791476,0.000060762,1.28257276,0.02058077,1.509863645,12.62,42.4
N50_FDSW202534409,12.77,8.08,8.03,0.008735073,0.06937728,0.000248007,1.4205548,0.01393112,2.175578695,23.95,60.1
NB1_FDME210455352,16.74,5,8.02,0.004216716,0.0387747,0.000082341,1.6158345,0.001244688,2.45473875,16.91,44.84
NB11_FDME210455362,16.74,4.2,8.12,0.003170844,0.0459585,0.000066894,1.2470661,0.010445313,2.55661875,Na,42.12
NB12_FDME210455363,16.74,4.1,8.13,0.003228948,0.0675099,0.000097788,1.3644015,0.005845,2.24531875,13,40.94
NB15_FDME210455366,16.74,4.1,8.17,0.00340326,0.0459585,0.000120959,1.2722094,0.001858063,2.36417875,15,39.39
NB2_FDME210455353,16.74,5.6,8,0.004158612,0.0423666,0.000244535,1.3727826,0.001858063,2.59057875,Na,47.97
NB4_FDME210455355,16.74,5.6,7.98,0.002996532,0.0423666,7.46E-05,1.322496,0.002778125,2.72075875,5,49.37
NB6_FDME210455357,16.74,5.4,8.06,0.003228948,0.0495504,0.000082341,1.1045874,0.005231625,2.71509875,Na,47.14
NB7_FDME210455358,16.74,4.9,8.04,0.003461364,0.0603261,7.46E-05,1.2051606,0.004004875,2.50567875,9,43.65
S10_FDSW202534395,12.77,3.92,8.16,0.00591741,0.08752216,0.000035796,1.14459072,0.02161516,1.336625195,37.85,40.8
S100_FDSW202534398,12.77,4.47,8.12,0.003672831,0.07635608,0.000198075,1.31357996,0.01969415,1.789877995,30.29,43.6
S150_FDSW202534399,12.77,3.94,8.07,0.003067909,0.08682428,0.000254249,1.77403688,0.0219107,1.735400495,25.23,42
S20_FDSW202534396,12.77,3.88,8.18,0.005742301,0.07286668,2.96E-05,1.19110152,0.02013746,1.468460745,31.51,45.5
S5_FDSW202534394,12.77,4.47,8.09,0.003481803,0.07496032,9.20E-05,1.46086416,0.01792091,1.557803845,27.73,44
S50_FDSW202534397,12.77,3.54,8.31,0.003258937,0.08473064,2.33E-05,1.20970584,0.02072854,1.446669745,17.67,38.5
SY11_FDME210455407,25.6,2,8.3,0.003519468,0.0423666,0.000066894,1.8924108,0.01933925,1.22651875,19.42,20.93
SY12_FDME210455408,25.6,1.9,8.75,0.00485586,0.0459585,0.00019047,1.4314503,0.008911875,1.35669875,Na,20.55
SY13_FDME210455409,25.6,1.8,8.63,0.009039348,0.0782856,7.46E-05,2.0516517,0.00461825,1.40197875,20.28,22.2
SY15_FDME210455411,25.6,2.2,8.58,0.011654028,0.063918,0.000066894,2.6467098,0.041727438,1.66233875,24.76,22.17
SY3_FDME210455399,25.6,1.9,8.61,0.009039348,0.0567342,0.000221364,1.4314503,0.005538313,1.57177875,Na,20.81
SY7_FDME210455403,25.6,1.8,8.67,0.012525588,0.0531423,0.000105512,1.8002187,0.011058688,1.28877875,17.48,20.16
SY9_FDME210455405,25.6,2,8.75,0.004972068,0.0351828,7.46E-05,1.7918376,0.016272375,1.28311875,Na,20.24
W10_FDSW202534401,12.77,3.82,8.13,0.003481803,0.0756582,0.000447735,1.53993252,0.02353617,1.540371045,20.17,41.4
W100_FDSW202534404,12.77,4.05,8.22,0.001523766,0.07286668,0.000266732,1.39419868,0.02146739,1.671117045,27.73,41.3
W150_FDSW202534405,12.77,2.96,8.09,0.002478906,0.07775184,0.000297939,1.51667712,0.02841258,1.077312295,17.67,41.1
W20_FDSW202534402,12.77,3.49,8.22,0.003179342,0.07077304,0.000191834,1.22210872,0.02353617,1.695087145,31.51,33.9
W5_FDSW202534400,12.77,4.29,8.21,0.002781367,0.08403276,6.08E-05,1.45776344,0.02353617,1.865056945,15.12,44
W50_FDSW202534403,12.77,3.56,8.02,0.004023049,0.07077304,0.000116936,1.44148466,0.02412725,1.211326945,27.73,39.9
WZ1_L1,17.65,4.4,7.85,0.003345156,0.0531423,0.000082341,1.3057338,0.00461825,2.77169875,6.83,41.49
WZ10_L1,17.65,5.5,7.84,0.004913964,0.0459585,0.000066894,1.1297307,0.003084813,2.61321875,8.59,48.24
WZ11_L1,17.65,4.6,7.78,0.004681548,0.0423666,0.000082341,1.4984991,0.00461825,2.66415875,Na,35.79
WZ14_L1,17.65,5,7.84,0.007702956,0.0423666,0.000120959,1.406307,0.004311563,2.73773875,6.16,46
WZ15_FDME210455471,17.65,5.1,7.73,0.00224118,0.0423666,7.46E-05,1.1213496,0.004004875,2.72641875,7.98,44.95
WZ3_L1,17.65,4.4,7.84,0.003577572,0.0675099,7.46E-05,1.0459197,0.008911875,2.30757875,Na,37.36
WZ5_L1,17.65,5.5,8.49,0.002299284,0.0459585,0.000066894,1.0207764,0.007378438,2.84527875,6.61,47.01
WZ7_FDME210455463,17.65,4.6,7.82,0.00311274,0.0531423,0.000082341,1.3141149,0.005231625,2.65849875,Na,33.27
YC1_FDME220007405,15.3,2.9,8.06,0.005262588,0.0315909,0.000051447,1.3811637,0.005538313,1.30575875,15.11,29.42
YC11_FDME220007415,15.3,3.9,7.94,0.006134148,0.0351828,0.000051447,1.2051606,0.005845,1.54347875,Na,33.84
